DATE,RPWB56A,RPWB55A,RPWB72A,RPWB67A,RPWB69A,RPWZ4TM,RPWZOQ4,RPWZ4TL,YWMB84C,RPWZ4TJ,RPWZ4TK,RPWZ4TN,RPWB59A,YWMB85C
18 Feb 2026,640732,95600,370,93686,69014,553158,41894,12823,,69014,0,20776,20760,
25 Feb 2026,643547,95813,370,97002,69871,553158,41894,12861,,69871,0,20804,20965,
04 Mar 2026,644973,95989,370,98252,70377,553158,41894,12864,,70377,0,21263,20673,
11 Mar 2026,646450,96158,370,99359,71204,553158,41894,12834,,71204,0,19273,19425,
18 Mar 2026,636991,96335,370,96967,72631,553158,41894,12838,,72631,0,18644,18263,
19 Mar 2026,,,,,,,,,0,,,,,0
25 Mar 2026,647608,96646,370,98071,72451,553158,41894,12841,,72451,0,18989,18591,
01 Apr 2026,645085,97061,370,97441,72774,553158,41894,12845,,72774,0,17820,17426,
08 Apr 2026,650510,97458,370,100301,74183,553158,41894,12849,,74183,0,16368,16858,
15 Apr 2026,648118,97261,370,99223,73728,553158,41894,12852,,73728,0,15873,15274,
22 Apr 2026,631488,97200,370,97854,69973,553158,41894,12836,,69973,0,16140,15870,
29 Apr 2026,633819,97375,370,97815,68760,527899,41894,12839,,68760,0,19470,19412,
30 Apr 2026,,,,,,,,,1,,,,,0
06 May 2026,638788,97736,370,103901,63627,527899,41894,12843,,63627,0,18403,18063,
13 May 2026,640209,97754,370,108634,64727,527899,41894,12847,,64727,0,18296,17994,
20 May 2026,640858,97683,370,110765,61100,527899,41894,12850,,61100,0,20316,19491,
27 May 2026,643115,98136,370,114888,60912,527899,41894,12854,,60912,0,20624,19669,
03 Jun 2026,640061,98098,370,109591,61920,527899,41894,12844,,61920,0,19521,18804,
10 Jun 2026,645478,98110,370,122918,62691,527899,41894,12796,,62691,0,18915,18444,
17 Jun 2026,653071,98138,370,126453,62888,527899,41894,12800,,62888,0,18612,18578,
18 Jun 2026,,,,,,,,,0,,,,,13
24 Jun 2026,664126,98255,370,134384,61743,527899,41894,12855,,61743,0,20042,20155,
01 Jul 2026,671588,98524,370,139912,64070,527899,41894,12953,,64070,0,20801,20025,
08 Jul 2026,672920,98635,370,136184,70149,527899,41894,13003,,70149,0,20339,19646,
15 Jul 2026,669590,98686,370,132245,71032,527899,41763,13156,,71032,0,19730,19062,
22 Jul 2026,632468,98709,370,124475,74364,527899,41763,12697,,74364,0,20114,19841,
29 Jul 2026,641432,98886,370,129273,78382,521819,41763,12768,,78382,0,20915,21086,
05 Aug 2026,637056,98867,370,123853,78233,521819,41763,12767,,78233,0,20986,20978,
12 Aug 2026,643509,98864,370,130916,78713,521819,41763,12771,,78713,0,21224,21398,
19 Aug 2026,641378,98811,370,126869,79914,521819,41763,12775,,79914,0,22246,22279,
26 Aug 2026,640701,98839,370,126073,81684,521819,41763,12779,,81684,0,22541,22085,
02 Sep 2026,643685,98978,370,124825,83874,521819,41763,12779,,83874,0,21246,20533,
